artist,avg_popularity
6th,3.5714285714285716
909 Junkies,7.5
A-Cray,1
Accelarator,10
Access One,14.6875
Acid Diaper,1
Act of Rage,18.166666666666668
Adamant Scream,10
Adaro,11.857142857142858
Advanced Dealer,1.6666666666666667
Aftermath,12
Aggressive Act,15
AK-Industry,1
AKA Fury,0
Akira,4
Alarach,1
Alien T,6
Alpha²,1
Alphaverb,7
Amnesys,6.809523809523809
Anderex,20.642857142857142
Andy the Core,9.538461538461538
Angerfist,19.504504504504503
Anhatema,6
Anime,16.142857142857142
Art Of Fighters,8.127659574468085
Artifact,8
Audio,7
Audiofreq,9.919354838709678
B-Front,6
Baba Nation,8.75
Bartoch,0
Beatstream,8
Berzärk,0.06666666666666667
Bioweapon,3
Black Sun Empire,1
Blaster,6.466666666666667
Blasterz,4.5
Blockdata,0.5
Bloodcage,4.5
Bloodfire,9.833333333333334
Bloodlust,29.444444444444443
Bloody Vaya,3
Bodyshock,4
BRAINPAIN,0.030612244897959183
BreakStyle,0
Brennan Heart,0
Broken Minds,15.153846153846153
Brooklyn Bounce,16
Bula,0
C-Netik,0
C.A.2K.,0
Centaspike,0
Chain Reaction,19.666666666666668
Chaos Project,16
Chemical Gorilla,0
CHOK DEE,3
Chris One,8
Clockartz,1
Coexsystems,0
Cooh,0.34375
Cooh & The Panacea,0
Coone,8.333333333333334
Core Pusher,3.5
Counterstrike,0.7857142857142857
Counterstrike & Black Sun Empire,0
Counterstrike & Cooh,0
Counterstrike & Current Value,1
Counterstrike & Nymfo,0
Counterstrike & Syd Vischi,0
"Counterstrike, DJ Hidden",0
"Counterstrike, Gein",0
"Counterstrike, Silent Killer, Breaker",0
Creatures Of The Occult,5
Crisis Era,4.5
Crossfiyah,5.5
Cryogenic,15.157894736842104
Crypsis,8.386363636363637
Crystal Lake,7.5
Current Value,4.021621621621621
D-Block & S-te-Fan,10
D-Ceptor,15.80952380952381
D-Clear,12
D-Fence,22.26086956521739
D-Frek,13.5
D-Passion,1
D-Sturb,36.857142857142854
Da Beatblower,11
Da Tweekaz,24.727272727272727
Damage Inc.,0
Day-Mar,10.714285714285714
De Schiedamse Schutters vs Krimpens Geweld,3
Deadly Guns,19.833333333333332
Deathmachine,1.4655172413793103
Deathroar,12.25
Delete,11.422222222222222
Densha Crisis,5
Destructive Tendencies,5.45
Deterrent Man,23
Detest,4.263888888888889
Digital Punk,10.352941176470589
Dione,24
Distinction,7
Dither,8.45
DJ Hidden,1.3333333333333333
DJ Isaac,14
DJ Isaac & The Viper,1.5
DJ JDA,0
Dj Mad Dog,17.910714285714285
DJ Maddog,5
DJ Mutante,11
DJ Paul,20
DJ Stephanie,27
Dj Thera,5
Djipe,2.836734693877551
DKaos,8
Dolphin,3.3333333333333335
Donkey Rollers,10.5
Donny,0.5757575757575758
Double K,5.5
Dr Rude,5.5
Dr. Peacock,31.095238095238095
Drokz,5.276923076923077
Dub Elements,13
