remix_artist,avg_popularity,track_name,popularity,release_date,main_artist
6th,3.5714285714285716,revenge - 6th remix - edit,5,2017-06-29,Art Of Fighters
wicked minds,3,your poison - wicked minds remix,0,2017-02-09,Art Of Fighters
wicked minds,3,your poison - wicked minds remix - edit,2,2017-02-09,Art Of Fighters
koozah,3.230769230769231,fuck you! - koozah remix,1,2014-06-04,Art Of Fighters
koozah,3.230769230769231,fuck you! - koozah remix - edit,2,2014-06-04,Art Of Fighters
meccano twins,3.5277777777777777,toxic hotel - meccano twins remix,3,2012-01-23,Art Of Fighters
tha playah,8.325,artwork - tha playah remix,10,2007-12-07,Art Of Fighters
ophidian,7.661016949152542,sinapse - ophidian remix,4,2007-12-07,Meccano Twins
adaro,11.857142857142858,greta is great (adaro remix) - hard bass 2018 liveset,4,2018-03-21,Activator
adaro,11.857142857142858,godd (adaro remix) - hard bass 2018 liveset,3,2018-03-21,Marco V
killshot,18.5,whiplashed (killshot remix) - hard bass 2018 liveset,5,2018-03-21,Adaro
adaro,11.857142857142858,the air i breathe - adaro remix,42,2022-10-26,Richard Durand
dr. peacock,31.095238095238095,touch a star - dr. peacock remix,32,2021-12-16,Adaro
phrantic,3.5,no time to sleep - phrantic remix,20,2021-08-19,Adaro
the machine,6,bring you the pain - the machine remix,13,2020-11-26,Adaro
adaro,11.857142857142858,wildfire - adaro remix,35,2020-07-24,Re-Style
vertile,37.45454545454545,flame up high - vertile remix,38,2020-01-17,Adaro
d-sturb,36.857142857142854,insane - d-sturb remix cut,10,2017-01-30,Regain
e-force,16.58823529411765,broken - e-force remix,29,2022-11-10,Regain
regain,11.717391304347826,breathe (regain remix),8,2016-11-09,Alpha²
korsakoff,15.514285714285714,blow up the speakers [mix cut] - korsakoff remix,14,2014-10-10,The Moon
nosferatu,11.03921568627451,the enemy - nosferatu remix,3,2013-03-22,Ruffneck
nosferatu,11.03921568627451,who is it? - nosferatu remix,4,2013-03-22,KnightVision
nosferatu,11.03921568627451,"now, who's in control? - nosferatu remix",4,2013-03-22,Phoenix
nosferatu,11.03921568627451,the holy kingdom - nosferatu remix,2,2013-03-22,Wedlock
nosferatu,11.03921568627451,evolution theory - nosferatu remix,2,2013-03-22,Wedlock
the outside agency,4.465116279069767,the wolves of creation - the outside agency remix,4,2013-03-22,Nosferatu
restrained,10.083333333333334,enemigo del estado - restrained remix,3,2016-11-10,Nosferatu
digital punk,10.352941176470589,swagger - digital punk remix,23,2022-05-18,Gunz For Hire
rebelion,24.63888888888889,armed & dangerous - rebelion remix,32,2021-11-04,Gunz For Hire
ncrypta,11.375,a storm is coming - ncrypta remix,24,2020-01-24,Gunz For Hire
broken minds,15.153846153846153,kings of the underground - broken minds remix,27,2022-09-30,Gunz For Hire
broken minds,15.153846153846153,eat this - broken minds remix,28,2019-05-30,Dr. Peacock
neox,3,apocalyptic - neox remix,1,2016-02-29,Broken Minds
broken minds,15.153846153846153,in the end - broken minds remix,33,2022-07-07,Anime
broken minds,15.153846153846153,the future - broken minds remix,25,2020-05-06,Kronos
restrained,10.083333333333334,this one is for you [mixed] - restrained remix,10,2019-05-24,Neophyte
ignite,5,fear the dogfight - ignite remix,10,2018-05-10,Anime
restrained,10.083333333333334,enemigo del estado - restrained remix edit,0,2016-12-16,Nosferatu
art of fighters,8.127659574468085,il clitoride - art of fighters remix edit,0,2016-12-16,The Sickest Squad
art of fighters,8.127659574468085,bass for your face - art of fighters remix edit,0,2016-12-16,Anime
koozah,3.230769230769231,hunting for your soul - koozah remix,8,2016-01-21,Anime
art of fighters,8.127659574468085,bass for your face - art of fighters remix,6,2016-01-21,Anime
the anunnaki,2,hands up (feat. tha suspect) - the anunnaki remix,6,2016-01-21,Anime
the sickest squad,5.3,detonate - the sickest squad remix,8,2016-01-21,Anime
broken minds,15.153846153846153,in the end - broken minds remix,33,2022-07-07,Anime
f. noize,11.857142857142858,bam bam - f. noize remix,26,2022-05-26,Anime
tears of fury,9.692307692307692,playing terror - tears of fury remix,28,2022-05-26,Anime
endymion,5,be a god #tih - endymion remix,4,2013-06-11,Anime
re-style,19.625,concentrate - re-style remix,7,2010-10-21,Anime
restrained,10.083333333333334,bitch! - restrained remix radio edit,2,2017-07-15,Bodyshock
tears of fury,9.692307692307692,i am death - tears of fury remix radio edit,0,2017-07-15,Bodyshock
crossfiyah,5.5,test my style - crossfiyah remix radio edit,0,2017-07-15,Bodyshock
koozah,3.230769230769231,the darkness - koozah remix radio edit,1,2017-07-15,Bodyshock
luxxer,0,search and destroy - luxxer remix radio edit,0,2017-07-15,Bodyshock
sefa,29.346153846153847,messed up - sefa remix,32,2018-03-02,Cyclon
sefa,29.346153846153847,muzika - sefa remix,59,2018-03-02,Dr. Peacock
sefa,29.346153846153847,nobody said it was easy - sefa remix,51,2022-03-31,Evil Activities
sefa,29.346153846153847,kingdom - sefa remix,34,2021-11-02,D-Block & S-te-Fan
sefa,29.346153846153847,get it crackin - sefa remix,53,2018-05-22,Re-Style
sefa,29.346153846153847,zoning (sefa remix),19,2017-09-15,Sylence
aggressive act,15,annihilation - aggressive act remix,39,2020-07-13,Malice
aggressive act,15,mutants - aggressive act remix,21,2019-08-26,Delete
