artist,track_name,popularity,release_date,remix_flag
art of fighters,guardians of unlost,11,2015-12-07,0
art of fighters,words of war,10,2015-12-07,0
art of fighters,keep on rocking #tih,8,2015-12-07,0
art of fighters,tears of blood #tih,6,2015-12-07,0
art of fighters,toxic hotel,6,2015-12-07,0
art of fighters,nirvana of noise (official dominator anthem 2011),32,2015-12-07,0
art of fighters,oh my sun,22,2015-12-07,0
art of fighters,goodbye (see you next time),23,2015-12-07,0
art of fighters,god's fury,6,2015-12-07,0
art of fighters,rock on,7,2015-12-07,0
art of fighters,i'm your enemy,5,2015-12-07,0
art of fighters,hardcore makes the world move,5,2015-12-07,0
art of fighters,the beat can’t change,17,2015-12-07,0
art of fighters,finalino,6,2015-12-07,0
art of fighters,mass control,8,2019-03-15,0
art of fighters,evoke,7,2017-10-18,0
art of fighters,your poison,10,2017-02-09,0
art of fighters,the scream of eva,7,2016-08-04,0
art of fighters,fuck you!,15,2013-12-09,0
art of fighters,dead end street,3,2011-06-03,0
art of fighters,brace for impact,3,2010-11-02,0
art of fighters,getting blowed up,3,2008-04-08,0
the stunned guys,rhythm rock shocker,0,2008-04-08,0
art of fighters,do or die,13,2007-09-21,0
art of fighters,redemption,17,2007-09-21,0
art of fighters,vulcano action,2,2007-09-21,0
art of fighters,bombermen,3,2006-10-18,0
tommyknocker,sometimes,2,2006-10-18,0
art of fighters,the thousand faces conspiration,4,2005-09-05,0
art of fighters,system: reload,2,2005-09-05,0
art of fighters,game don't stop,6,2004-09-08,0
art of fighters,mistake,2,2004-09-08,0
art of fighters,earthquake,19,2002-12-03,0
art of fighters,bitcrusher,7,2002-12-03,0
art of fighters,release 7.0,3,2002-12-03,0
art of fighters,sin = art,3,2002-10-04,0
art of fighters,release 6.0,0,2002-10-04,0
art of fighters,pussy lovers,8,2002-04-11,0
art of fighters,digital shampoo,20,2002-04-11,0
art of fighters,release 5.0,3,2002-04-11,0
art of fighters,release 4.0,1,2001-09-10,0
art of fighters,artwork,20,2001-02-20,0
art of fighters,too strange,3,2001-02-20,0
art of fighters,underconstruction,3,2001-02-20,0
art of fighters,release 3.1,2,2001-02-20,0
art of fighters,the beat can't change,7,1999-12-10,0
art of fighters,harmful art,2,1999-12-10,0
art of fighters,release 2.0,2,1999-12-10,0
adaro,intro,2,2018-03-21,0
adaro,the haunter of the dark (kick edit),6,2018-03-21,0
adaro,the voice of fire,9,2018-03-21,0
adaro,the sky is the limit,4,2018-03-21,0
adaro,the otherside,8,2018-03-21,0
adaro,voices calling me,29,2022-03-03,0
adaro,a deeper space,25,2020-11-13,0
regain,cocaine,23,2022-04-20,0
regain,back to the madness,19,2022-04-20,0
regain,project.flp,12,2022-04-20,0
regain,this is regain,17,2019-05-01,0
regain,back to my roots,9,2019-05-01,0
regain,monster,6,2019-05-01,0
regain,swang,9,2019-05-01,0
regain,trust me,7,2019-05-01,0
regain,brains hit the floor,9,2019-05-01,0
regain,mic down,8,2019-05-01,0
regain,to the drums,7,2019-05-01,0
regain,fist to fist,7,2019-05-01,0
regain,crowd reaction,11,2019-05-01,0
regain,watch me kill,9,2019-05-01,0
regain,pussy and oldschool,6,2019-05-01,0
regain,indicate,8,2019-05-01,0
regain,roll it,14,2017-01-30,0
regain,the greatest show,12,2017-01-30,0
regain,all in darkness,10,2017-01-30,0
regain,about me,9,2017-01-30,0
regain,dynamite,8,2017-01-30,0
regain,heavy & mad,26,2022-11-10,0
regain,come for you,28,2022-11-10,0
regain,xorcism,30,2022-11-10,0
regain,destroy,32,2022-08-26,0
regain,fire up,21,2022-02-25,0
regain,fuck it up,22,2021-08-18,0
regain,rock right now,19,2021-05-05,0
regain,anything,14,2021-03-01,0
regain,love,15,2020-12-24,0
regain,oldschool,14,2020-07-28,0
regain,pan pawel,9,2020-04-14,0
regain,underground,13,2019-12-13,0
regain,out of bounds,11,2019-09-04,0
regain,surrender to the noise (fatality 2019 anthem),11,2019-07-26,0
regain,dominate,20,2018-11-28,0
regain,the end,3,2018-06-06,0
regain,bottle after bottle,3,2017-09-03,0
regain,celebration,3,2017-07-19,0
regain,brunch,0,2015-07-03,0
regain,con azucar,0,2015-07-03,0
regain,push it to the limit,18,2015-01-23,0
regain,insane,6,2014-09-19,0
regain,bathed in blood,1,2014-02-14,0
regain,shadow of my mind,0,2013-11-21,0
regain,still alive,0,2013-04-11,0
penta,streetfight,1,2021-10-08,0
penta,ultron,1,2021-08-20,0
