artist,track_id,track_name,duration_ms,popularity,release_date,release_date_precision,isrc
Art Of Fighters,2rHfLANXNn5ppnW0jqv8h2,Hellfire,183412,19,2015-12-07,day,ITD131501259
Art Of Fighters,39HcGEjy7kUlsKC9smxzZC,My drug: the competition,205090,10,2015-12-07,day,ITD131401164
Art Of Fighters,2ObsxNo4B6oEznNzQ3YUyO,Guardians of unlost,196077,12,2015-12-07,day,ITD131501352
Art Of Fighters,2uFAhZqMoSsweOPgEoTKDJ,Devil's mind #TiH,222052,12,2015-12-07,day,NLQS91500111
Art Of Fighters,2WpPRwHKxsx4iTTDkEXbxT,Creatures of the night,200573,10,2015-12-07,day,ITD131501489
Art Of Fighters,3gqWjKkKSWnT5DXwwZD5Jd,Words of war - Edit,195184,11,2015-12-07,day,ITD131501262
Art Of Fighters,3lUkFSXam59pDasFSqkzDK,Fuck you!,222967,12,2015-12-07,day,ITD131401144
Art Of Fighters,2m9YEg2u9VCxgimOzg67pd,Keep on rocking #TiH,176000,9,2015-12-07,day,ITD131401163
Art Of Fighters,1EXOqjDCb22WaHnOD9bkHK,Apocalypse,222727,8,2015-12-07,day,ITD131401084
Art Of Fighters,3OeyBpJATKpRJanuHrjhD1,Restart the party #TiH,169995,12,2015-12-07,day,ITD131501449
Art Of Fighters,3FSOWrtQzekA86Tyfn3jON,Electrogod,242715,9,2015-12-07,day,ITD131401073
Art Of Fighters,3SPXxAbcHz8SiZwlCekfO0,Badass,197374,8,2015-12-07,day,ITD131401076
Art Of Fighters,699cUcJJ5j8MHOkPV5LQcn,Tears of blood #TiH,209079,7,2015-12-07,day,ITD131501490
Art Of Fighters,5eccasSOITVC3L6En0fovQ,God is a gangster,296470,9,2015-12-07,day,NLQS91400025
Art Of Fighters,7fa6RZGzuZizOypOaoRfgJ,Toxic hotel,181028,7,2015-12-07,day,ITD131501491
Art Of Fighters,2jpuixaW5SoEjMDCYqFr4E,Breath fire,267731,9,2015-12-07,day,ITD131501492
Art Of Fighters,0JcHu6zRFqhEHt1qchQyZS,Nirvana of noise (Official Dominator Anthem 2011),168685,33,2015-12-07,day,ITD131501493
Art Of Fighters,5JH17RHhOUhO55JzAQfU3z,Resurrection,230806,9,2015-12-07,day,ITD131501451
Art Of Fighters,7ldhsAlWDlXaV1W3uzPORB,Hardcore domination,168492,8,2015-12-07,day,ITD131501421
Art Of Fighters,19PVNbX65Hah2UDB71L14F,Hear me coming - Edit,188998,9,2015-12-07,day,ITD131501271
Art Of Fighters,5r5b5vgSbobmUSAELrrUcj,Oh my sun,220293,23,2015-12-07,day,ITD131100827
Art Of Fighters,3ovDTXs2S44pjWRZLyRRQ4,Goodbye (See you next time),157504,24,2015-12-07,day,ITD131401165
Art Of Fighters,3BYcCI1ilOpphw8mrbX3Rn,Redemption,213520,8,2015-12-07,day,ITD131501486
Art Of Fighters,0Guda8tiDrnEFupXI23aWC,Symphony of the dead,233374,9,2015-12-07,day,ITD131501494
Art Of Fighters,0rYMWN7lzBGS5kGFseAuer,Earthquake,258865,12,2015-12-07,day,ITD131501428
Art Of Fighters,1dWNBZnJV0MRzYcXV0y2fz,Follow me,224422,7,2015-12-07,day,ITD131501495
Art Of Fighters,3XrrHrhrURcjYGVAowZpeM,Do or die,225166,9,2015-12-07,day,ITD131501427
Art Of Fighters,5mJu61JAOQ103RcHKkGy5Z,Premonition,217750,7,2015-12-07,day,ITD131501496
Art Of Fighters,0tCyyf45Jo8KmRRNTqXOPL,Freaks,218844,8,2015-12-07,day,ITD131501497
Art Of Fighters,3VwK5IIP5CDP4DF6EqeNtQ,God's fury,215230,7,2015-12-07,day,ITD131501450
Art Of Fighters,0TH3OkcgZ6zMm9PlnReCVD,United by hardness,202971,9,2015-12-07,day,ITD131501445
Art Of Fighters,57eJaEqo5tLS4tKnkgUBxJ,Let's get it on,251784,9,2015-12-07,day,ITD131501429
Art Of Fighters,5AnsJnKypyvEjX2EXQcEJj,Rock on,196626,8,2015-12-07,day,ITD131501498
Art Of Fighters,7q6IDdQkJUij1F24uB9CtW,Party starter,248471,8,2015-12-07,day,ITD131501499
Art Of Fighters,1mf99qBeRyX7GLV39fiOFd,Eternal,217543,8,2015-12-07,day,ITD131501441
Art Of Fighters,2LPyqOd2Py8RNczYbfDDvx,Revenge,245925,9,2015-12-07,day,ITD131501500
Art Of Fighters,12NDqZFJrGu6SIPnCUwwV8,Release 4.0,210658,5,2015-12-07,day,ITD131501501
Art Of Fighters,13IIGfSgUzeAKCyuoXJJh1,I'm your enemy,224444,6,2015-12-07,day,ITD131501502
Art Of Fighters,0en6xeJ54jD9bfd2ZgcjvP,Shotgun - AoF reloaded,239381,5,2015-12-07,day,ITD131501444
Art Of Fighters,4uScZaK6ylXFB4LsYHTf64,I became hardcore,191469,6,2015-12-07,day,ITD131501503
Art Of Fighters,7aPmr4o6TP0930wBrOlZTa,Hardcore makes the world move,221829,5,2015-12-07,day,ITD131501386
Art Of Fighters,4rqCKOKPITFztMXPF87aAX,Artwork,189086,12,2015-12-07,day,ITD131501406
Art Of Fighters,468jwt1VFPB1NL36EoQyfY,The beat can’t change,211256,18,2015-12-07,day,ITD131501410
Art Of Fighters,48x9649EJECQEyqmFj53QQ,Finalino,169729,7,2015-12-07,day,ITD130700713
Art Of Fighters,4FJe6nMg7FWYtEvHtyrTe0,Keeping my means the meanest,198666,19,2022-11-04,day,ITJAZ2200001
Art Of Fighters,7fyrFDUHiWIo8IUuZYO0tk,Shrapnel,130286,12,2019-07-25,day,ITD131900053
Art Of Fighters,3rFhPbzumiE1hyQTSxscri,Last Resistance,148500,6,2019-06-06,day,ITD131900041
Art Of Fighters,5tQajyuCo6fKH5yX3sDMxl,The dark universe - Points Of Authority Remix,134412,29,2019-05-15,day,ITD131900034
Art Of Fighters,1dHWc12DGlakN9zBaIgOYB,Vulcano Action - Reevoid Remix,174606,10,2019-05-09,day,ITD131900032
Art Of Fighters,5iO23TO1zG3CpWvS932cKQ,Mass control,164478,8,2019-03-15,day,ITD131900021
Art Of Fighters,3J2NUOJsjoQPaLYPA8tD48,A New Today - ANDY SVGE Remix,223815,8,2018-08-03,day,NLHY51800673
Art Of Fighters,0JjrmTqIyJQeCYNlJA19fp,Evoke,157454,8,2017-10-18,day,ITD131700231
Art Of Fighters,4gSjkvqngPk7pqktaHnjd5,Into the future - Edit,192124,6,2017-06-29,day,ITD131700159
Art Of Fighters,1vz2Yhfoy9KvbktJoEKSh1,Into the future - Myosuke remix - Edit,192121,1,2017-06-29,day,ITD131700160
Art Of Fighters,2U6W2h3zjGIzQ4JP5Jcm3e,Revenge - 6th remix - Edit,168554,6,2017-06-29,day,ITD131700161
Art Of Fighters,38t985BskPl2N4CFJ9byXm,God's fury - Roughsketch remix - Edit,172900,4,2017-06-29,day,ITD131700162
Art Of Fighters,2ebKUMcvaIVSQk7UWirJJ7,Your Poison,239239,11,2017-02-09,day,ITD131700025
Art Of Fighters,28iq5lJxazuLUlUu5gHT1a,Your Poison - Wicked Minds remix,303577,0,2017-02-09,day,ITD131700026
Art Of Fighters,4VARcFM1sm0JbZ2qWhUJ19,Your Poison - Edit,160775,4,2017-02-09,day,ITD131700027
Art Of Fighters,5BhNwLBYrRVqu1lLat01d0,Your Poison - Wicked Minds remix - Edit,241650,2,2017-02-09,day,ITD131700028
Art Of Fighters,1r0UjPyZx50PkgD3fc9OY1,The scream of Eva - Neon Genesis Evangelion tribute,218917,4,2016-08-04,day,ITD131600198
Art Of Fighters,4tEa3aLMrKvd4S6mXJOQ5w,The scream of Eva - Neon Genesis Evangelion tribute - Edit,155313,8,2016-08-04,day,ITD131600199
Art Of Fighters,4okBgFWH1DKb2DaGEh5ynG,Your betrayal,301032,7,2016-03-17,day,ITD131600059
Art Of Fighters,5elt4zrCttlvs5VX2UCaEu,Your betrayal - Edit,235994,11,2016-03-17,day,ITD131600060
Art Of Fighters,7MB5UbLvLSSD8X8ekBPESh,Hardcore domination,271402,6,2015-10-15,day,ITD131501420
Art Of Fighters,6AyxAVriGMOiIAgEAwwUWI,Hardcore domination - Edit,168492,7,2015-10-15,day,ITD131501421
Art Of Fighters,452LgUIcCvZtrGcxOlquU4,Guardians of unlost,290343,1,2015-07-23,day,ITD131501351
Art Of Fighters,7mjFi9WheIdVZQIZI962Yi,Guardians of unlost - Edit,196077,3,2015-07-23,day,ITD131501352
