track_id,track_name,duration_ms,popularity,release_date,release_date_precision,isrc,1,2,3,4,5,6,7,8
2rHfLANXNn5ppnW0jqv8h2,Hellfire,183412,18,2015-12-07,day,ITD131501259,Art Of Fighters,Predator,NA,NA,NA,NA,NA,NA
39HcGEjy7kUlsKC9smxzZC,My drug: the competition,205090,9,2015-12-07,day,ITD131401164,Art Of Fighters,Alien T,NA,NA,NA,NA,NA,NA
2ObsxNo4B6oEznNzQ3YUyO,Guardians of unlost,196077,11,2015-12-07,day,ITD131501352,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
2uFAhZqMoSsweOPgEoTKDJ,Devil's mind #TiH,222052,11,2015-12-07,day,NLQS91500111,Nosferatu,Art Of Fighters,NA,NA,NA,NA,NA,NA
2WpPRwHKxsx4iTTDkEXbxT,Creatures of the night,200573,8,2015-12-07,day,ITD131501489,Art Of Fighters,Synthax,Xcite,NA,NA,NA,NA,NA
3gqWjKkKSWnT5DXwwZD5Jd,Words of war - Edit,195184,10,2015-12-07,day,ITD131501262,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
3lUkFSXam59pDasFSqkzDK,Fuck you!,222967,11,2015-12-07,day,ITD131401144,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
2m9YEg2u9VCxgimOzg67pd,Keep on rocking #TiH,176000,8,2015-12-07,day,ITD131401163,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
1EXOqjDCb22WaHnOD9bkHK,Apocalypse,222727,7,2015-12-07,day,ITD131401084,Dj Mad Dog,Art Of Fighters,NA,NA,NA,NA,NA,NA
3OeyBpJATKpRJanuHrjhD1,Restart the party #TiH,169995,11,2015-12-07,day,ITD131501449,Art Of Fighters,Nico & Tetta,NA,NA,NA,NA,NA,NA
3FSOWrtQzekA86Tyfn3jON,Electrogod,242715,8,2015-12-07,day,ITD131401073,Meccano Twins,Art Of Fighters,NA,NA,NA,NA,NA,NA
3SPXxAbcHz8SiZwlCekfO0,Badass,197374,7,2015-12-07,day,ITD131401076,Art Of Fighters,Dj Mad Dog,NA,NA,NA,NA,NA,NA
699cUcJJ5j8MHOkPV5LQcn,Tears of blood #TiH,209079,6,2015-12-07,day,ITD131501490,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
5eccasSOITVC3L6En0fovQ,God is a gangster,296470,8,2015-12-07,day,NLQS91400025,Endymion,Art Of Fighters,NA,NA,NA,NA,NA,NA
7fa6RZGzuZizOypOaoRfgJ,Toxic hotel,181028,6,2015-12-07,day,ITD131501491,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
2jpuixaW5SoEjMDCYqFr4E,Breath fire,267731,8,2015-12-07,day,ITD131501492,Art Of Fighters,Noize Suppressor,NA,NA,NA,NA,NA,NA
0JcHu6zRFqhEHt1qchQyZS,Nirvana of noise (Official Dominator Anthem 2011),168685,32,2015-12-07,day,ITD131501493,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
5JH17RHhOUhO55JzAQfU3z,Resurrection,230806,8,2015-12-07,day,ITD131501451,Art Of Fighters,Mello Bondz,NA,NA,NA,NA,NA,NA
7ldhsAlWDlXaV1W3uzPORB,Hardcore domination,168492,8,2015-12-07,day,ITD131501421,The Melodyst,Art Of Fighters,NA,NA,NA,NA,NA,NA
19PVNbX65Hah2UDB71L14F,Hear me coming - Edit,188998,8,2015-12-07,day,ITD131501271,Art Of Fighters,Meccano Twins,NA,NA,NA,NA,NA,NA
5r5b5vgSbobmUSAELrrUcj,Oh my sun,220293,22,2015-12-07,day,ITD131100827,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
3ovDTXs2S44pjWRZLyRRQ4,Goodbye (See you next time),157504,23,2015-12-07,day,ITD131401165,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
3BYcCI1ilOpphw8mrbX3Rn,Redemption,213520,7,2015-12-07,day,ITD131501486,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
0Guda8tiDrnEFupXI23aWC,Symphony of the dead,233374,8,2015-12-07,day,ITD131501494,Art Of Fighters,Nikkita,NA,NA,NA,NA,NA,NA
0rYMWN7lzBGS5kGFseAuer,Earthquake,258865,10,2015-12-07,day,ITD131501428,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
1dWNBZnJV0MRzYcXV0y2fz,Follow me,224422,6,2015-12-07,day,ITD131501495,Art Of Fighters,Tommyknocker,NA,NA,NA,NA,NA,NA
3XrrHrhrURcjYGVAowZpeM,Do or die,225166,8,2015-12-07,day,ITD131501427,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
5mJu61JAOQ103RcHKkGy5Z,Premonition,217750,6,2015-12-07,day,ITD131501496,Art Of Fighters,MC Justice,NA,NA,NA,NA,NA,NA
0tCyyf45Jo8KmRRNTqXOPL,Freaks,218844,7,2015-12-07,day,ITD131501497,Art Of Fighters,Endymion,NA,NA,NA,NA,NA,NA
3VwK5IIP5CDP4DF6EqeNtQ,God's fury,215230,6,2015-12-07,day,ITD131501450,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
0TH3OkcgZ6zMm9PlnReCVD,United by hardness,202971,8,2015-12-07,day,ITD131501445,The Stunned Guys,Art Of Fighters,NA,NA,NA,NA,NA,NA
57eJaEqo5tLS4tKnkgUBxJ,Let's get it on,251784,8,2015-12-07,day,ITD131501429,Art Of Fighters,Endymion,NA,NA,NA,NA,NA,NA
5AnsJnKypyvEjX2EXQcEJj,Rock on,196626,7,2015-12-07,day,ITD131501498,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
7q6IDdQkJUij1F24uB9CtW,Party starter,248471,7,2015-12-07,day,ITD131501499,Art Of Fighters,Dj Mad Dog,NA,NA,NA,NA,NA,NA
1mf99qBeRyX7GLV39fiOFd,Eternal,217543,7,2015-12-07,day,ITD131501441,The Stunned Guys,Art Of Fighters,NA,NA,NA,NA,NA,NA
2LPyqOd2Py8RNczYbfDDvx,Revenge,245925,8,2015-12-07,day,ITD131501500,Art Of Fighters,Nico & Tetta,NA,NA,NA,NA,NA,NA
12NDqZFJrGu6SIPnCUwwV8,Release 4.0,210658,5,2015-12-07,day,ITD131501501,Art Of Fighters,Nico & Tetta,NA,NA,NA,NA,NA,NA
13IIGfSgUzeAKCyuoXJJh1,I'm your enemy,224444,5,2015-12-07,day,ITD131501502,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
0en6xeJ54jD9bfd2ZgcjvP,Shotgun - AoF reloaded,239381,4,2015-12-07,day,ITD131501444,Art Of Fighters,Nico & Tetta,NA,NA,NA,NA,NA,NA
4uScZaK6ylXFB4LsYHTf64,I became hardcore,191469,6,2015-12-07,day,ITD131501503,Art Of Fighters,Nico & Tetta,NA,NA,NA,NA,NA,NA
7aPmr4o6TP0930wBrOlZTa,Hardcore makes the world move,221829,5,2015-12-07,day,ITD131501386,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
4rqCKOKPITFztMXPF87aAX,Artwork,189086,11,2015-12-07,day,ITD131501406,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
468jwt1VFPB1NL36EoQyfY,The beat can’t change,211256,17,2015-12-07,day,ITD131501410,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
48x9649EJECQEyqmFj53QQ,Finalino,169729,6,2015-12-07,day,ITD130700713,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
4FJe6nMg7FWYtEvHtyrTe0,Keeping my means the meanest,198666,18,2022-11-04,day,ITJAZ2200001,Art Of Fighters,Unexist,NA,NA,NA,NA,NA,NA
7fyrFDUHiWIo8IUuZYO0tk,Shrapnel,130286,11,2019-07-25,day,ITD131900053,Predator,Art Of Fighters,Rob Gee,NA,NA,NA,NA,NA
3rFhPbzumiE1hyQTSxscri,Last Resistance,148500,5,2019-06-06,day,ITD131900041,Art Of Fighters,Nikkita,NA,NA,NA,NA,NA,NA
5tQajyuCo6fKH5yX3sDMxl,The dark universe - Points Of Authority Remix,134412,29,2019-05-15,day,ITD131900034,Meccano Twins,Art Of Fighters,Points Of Authority,NA,NA,NA,NA,NA
1dHWc12DGlakN9zBaIgOYB,Vulcano Action - Reevoid Remix,174606,9,2019-05-09,day,ITD131900032,Art Of Fighters,Reevoid,NA,NA,NA,NA,NA,NA
5iO23TO1zG3CpWvS932cKQ,Mass control,164478,8,2019-03-15,day,ITD131900021,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
3J2NUOJsjoQPaLYPA8tD48,A New Today - ANDY SVGE Remix,223815,7,2018-08-03,day,NLHY51800673,Endymion,Art Of Fighters,Lilly Julian,ANDY SVGE,NA,NA,NA,NA
0JjrmTqIyJQeCYNlJA19fp,Evoke,157454,7,2017-10-18,day,ITD131700231,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
4gSjkvqngPk7pqktaHnjd5,Into the future - Edit,192124,6,2017-06-29,day,ITD131700159,Art Of Fighters,DP,NA,NA,NA,NA,NA,NA
1vz2Yhfoy9KvbktJoEKSh1,Into the future - Myosuke remix - Edit,192121,1,2017-06-29,day,ITD131700160,Art Of Fighters,DP,DJ Myosuke,NA,NA,NA,NA,NA
2U6W2h3zjGIzQ4JP5Jcm3e,Revenge - 6th remix - Edit,168554,5,2017-06-29,day,ITD131700161,Art Of Fighters,Nico & Tetta,6th,NA,NA,NA,NA,NA
38t985BskPl2N4CFJ9byXm,God's fury - Roughsketch remix - Edit,172900,3,2017-06-29,day,ITD131700162,Art Of Fighters,RoughSketch,NA,NA,NA,NA,NA,NA
2ebKUMcvaIVSQk7UWirJJ7,Your Poison,239239,10,2017-02-09,day,ITD131700025,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
28iq5lJxazuLUlUu5gHT1a,Your Poison - Wicked Minds remix,303577,0,2017-02-09,day,ITD131700026,Art Of Fighters,Wicked Minds,NA,NA,NA,NA,NA,NA
4VARcFM1sm0JbZ2qWhUJ19,Your Poison - Edit,160775,4,2017-02-09,day,ITD131700027,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
5BhNwLBYrRVqu1lLat01d0,Your Poison - Wicked Minds remix - Edit,241650,2,2017-02-09,day,ITD131700028,Art Of Fighters,Wicked Minds,NA,NA,NA,NA,NA,NA
1r0UjPyZx50PkgD3fc9OY1,The scream of Eva - Neon Genesis Evangelion tribute,218917,3,2016-08-04,day,ITD131600198,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
4tEa3aLMrKvd4S6mXJOQ5w,The scream of Eva - Neon Genesis Evangelion tribute - Edit,155313,7,2016-08-04,day,ITD131600199,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
4okBgFWH1DKb2DaGEh5ynG,Your betrayal,301032,6,2016-03-17,day,ITD131600059,Tommyknocker,Art Of Fighters,NA,NA,NA,NA,NA,NA
5elt4zrCttlvs5VX2UCaEu,Your betrayal - Edit,235994,11,2016-03-17,day,ITD131600060,Tommyknocker,Art Of Fighters,NA,NA,NA,NA,NA,NA
7MB5UbLvLSSD8X8ekBPESh,Hardcore domination,271402,6,2015-10-15,day,ITD131501420,The Melodyst,Art Of Fighters,NA,NA,NA,NA,NA,NA
6AyxAVriGMOiIAgEAwwUWI,Hardcore domination - Edit,168492,6,2015-10-15,day,ITD131501421,The Melodyst,Art Of Fighters,NA,NA,NA,NA,NA,NA
452LgUIcCvZtrGcxOlquU4,Guardians of unlost,290343,1,2015-07-23,day,ITD131501351,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
7mjFi9WheIdVZQIZI962Yi,Guardians of unlost - Edit,196077,3,2015-07-23,day,ITD131501352,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
7gLjByKJOXqEzmlD00U43D,Words of war,284887,5,2015-02-25,day,ITD131501257,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
4vTHAxnCykc9AeDVyVpP0H,Hellfire,315673,1,2015-02-25,day,ITD131501258,Art Of Fighters,Predator,NA,NA,NA,NA,NA,NA
6P8b0JSzF3Kg011ifVUefe,Hear me coming,230119,3,2015-02-25,day,ITD131501270,Art Of Fighters,Meccano Twins,NA,NA,NA,NA,NA,NA
4eLgpkgivk8SKyI0eKuaR2,Words of war - Edit,195184,6,2015-02-25,day,ITD131501262,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
1daYPz39YCg5j6ni8lWz29,Hellfire,183412,3,2015-02-25,day,ITD131501259,Art Of Fighters,Predator,NA,NA,NA,NA,NA,NA
6kfucepkaRHQrSFJsG4iHv,Hear me coming - Edit,188998,2,2015-02-25,day,ITD131501271,Art Of Fighters,Meccano Twins,NA,NA,NA,NA,NA,NA
5fMgndOsIbzmdyps7OrvuA,Keep on rocking #TiH,274340,2,2014-07-23,day,ITD131401119,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
24fEmD671ATrq5sNmj3y6q,My drug: the competition,302810,0,2014-07-23,day,ITD131401138,Art Of Fighters,Alien T,NA,NA,NA,NA,NA,NA
6rgw738RRcllXUHwDsE5Nv,Goodbye (See you next time),272506,3,2014-07-23,day,ITD131401135,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
1vANRJeR588maYfgU5ZUjb,Keep on rocking #TiH - Edit,176000,2,2014-07-23,day,ITD131401163,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
6lIIO3c4pX9Q4TokxB9M65,My drug: the competition - Edit,205090,2,2014-07-23,day,ITD131401164,Art Of Fighters,Alien T,NA,NA,NA,NA,NA,NA
0A7eYKsh3e9USyn4CSQL0f,Goodbye (See you next time) - Edit,157504,10,2014-07-23,day,ITD131401165,Art Of Fighters,NA,NA,NA,NA,NA,NA,NA
